,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24-Jun-2025,25-Jun-2025,26-Jun-2025,27-Jun-2025,30-Jun-2025,1-Jul-2025,2-Jul-2025,"Rough, Conected to other sheet",3-Jul-2025,4-Jul-2025,7-Jul-2025,8-Jul-2025,9-Jul-2025,11-Jul-2025,14-Jul-2025,15-Jul-2025,16-Jul-2025,17-Jul-2025,18-Jul-2025,21-Jul-2025,22-Jul-2025,23-Jul-2025,24-Jul-2025,25-Jul-2025,28-Jul-2025,29-Jul-2025,30-Jul-2025,31-Jul-2025,1-Aug-2025,4-Aug-2025,5-Aug-2025,7-Aug-2025,8-Aug-2025,11-Aug-2025,12-Aug-2025,13-Aug-2025,14-Aug-2025,18-Aug-2025,19-Aug-2025,20-Aug-2025,21-Aug-2025,22-Aug-2025,25-Aug-2025,26-Aug-2025,1-Sep-2025,3-Sep-2025,4-Sep-2025,5-Sep-2025,8-Sep-2025,9-Sep-2025,10-Sep-2025,11-Sep-2025,12-Sep-2025,15-Sep-2025,16-Sep-2025,17-Sep-2025,19-Sep-2025,22-Sep-2025,23-Sep-2025,24-Sep-2025,25-Sep-2025,26-Sep-2025,29-Sep-2025,30-Sep-2025,1-Oct-2025,3-Oct-2025,6-Oct-2025,7-Oct-2025,9-Oct-2025,10-Oct-2025,13-Oct-2025,14-Oct-2025,16-Oct-2025,21-Oct-2025,23-Oct-2025,24-Oct-2025,27-Oct-2025,28-Oct-2025,29-Oct-2025,30-Oct-2025,3-Nov-2025,4-Nov-2025,5-Nov-2025,6-Nov-2025,7-Nov-2025,10-Nov-2025,11-Nov-2025,12-Nov-2025,13-Nov-2025,14-Nov-2025,,,,,
,22,Amazon product pages,site:www.amazon.in inurl:/dp/,"6,94,00,000 ","5,14,00,000 ","7,04,00,000 ","7,08,00,000 ","7,13,00,000 ","7,11,00,000 ","7,18,00,000 ",,"7,16,00,000","7,13,00,000","7,10,00,000","7,10,00,000","7,29,00,000","9,00,00,000","7,50,00,000","7,28,00,000","7,19,00,000","7,25,00,000","7,30,00,000","7,14,00,000","7,12,00,000","7,15,00,000","7,10,00,000","7,04,00,000","7,14,00,000","7,26,00,000","7,28,00,000","7,46,00,000","7,73,00,000","7,65,00,000","7,55,00,000","7,90,00,000","8,05,00,000","8,05,00,000","8,33,00,000","8,01,00,000","8,12,00,000","9,08,00,000","8,78,00,000","8,78,00,000","8,96,00,000","8,85,00,000","9,42,00,000","9,64,00,000","9,50,00,000","8,73,00,000","8,69,00,000","8,69,00,000","9,42,00,000","9,64,00,000","9,50,00,000","9,43,00,000","9,51,00,000","10,20,00,000","9,47,00,000","10,00,00,000","9,47,00,000","9,21,00,000","9,44,00,000","8,55,00,000"," 8,09,00,000 ","8,18,00,000","7,70,00,000","8,27,00,000","7,85,00,000","81,600,000","78,000,000","77,800,000","77,900,000","77,500,000","81,300,000","82,000,000","83,900,000","84,200,000","85,600,000","83,600,000","82,900,000","8,00,00,000","7,87,00,000","8,07,00,000","8,10,00,000","8,09,00,000","8,10,00,000","7,93,00,000","8,10,00,000","8,02,00,000 ","7,87,00,000","7,89,00,000","7,78,00,000","8,05,00,000",site:https://www.myntra.com/ inurl:/buy?pdp,9,,,"39,00,000"
,23,,site:https://www.myntra.com inurl:?p= -inurl:/buy,"7,890","8,960","9,310","9,590","8,610","8,680","8,670",,"10,300","9,760","8,150","8,120","8,310","8,110","8,180","8,270","8,100","8,130","8,490","8,240","8,100","8,320","7,710","8,630","7,250","7,330","7,680","7,590","8,950","8,370","8,580","7,830","7,560","7,560","7,840","7,810","8,480","8,580","8,440","8,440","8,900","9,050","8,650","8,240","7,540","7,550","7,470","7,470","7,920","8,090","8,370","8,320","7,870","8,920","8,200","7,600","7,290","8,100","8,170","8,190","8,220","9,260","7,360","7,970","7,910","6,880","7,240","7,940","6,760","6,800","7,180","7,240","7,940","7,860","8,200","7,680","7,750","7,730","7,960","8,000","7,440","7,770",7430,"7,480","7,430","7,830","7,090","7,640","8,060","7,730",,,,,"37,00,000"
,24,Clean Search Pages,site:https://www.myntra.com -inurl:/buy -inurl:utm_source -inurl:src -inurl:pdp -inurl:src -inurl:up= -inurl=serp -inurl=pdp_imagetemp= -inurl:/amp/,"52,50,000 ","46,00,000 ","55,30,000 ","49,20,000 ","57,90,000 ","26,80,000 ","55,20,000 ",,"32,80,000","30,00,000","42,80,000","26,70,000","15,00,000","14,70,000","15,50,000","16,00,000","15,90,000","14,80,000","16,30,000","17,30,000","18,10,000","17,20,000","17,70,000","18,40,000","17,80,000","18,00,000","18,30,000","18,00,000","18,20,000","19,20,000","19,40,000","20,10,000","20,30,000","20,30,000","20,30,000","20,00,000","20,00,000","20,40,000","20,80,000","20,80,000","20,60,000","21,00,000","21,80,000","21,90,000","23,00,000","24,90,000","25,60,000","25,60,000","25,60,000","25,60,000","26,00,000","25,80,000","25,60,000","25,80,000","26,20,000","26,20,000","27,70,000","28,90,000","28,60,000","28,90,000","29,60,000","30,20,000","35,80,000","35,60,000","37,50,000","4,020,000","3,990,000","3,940,000","3,890,000",CAPTCHA FAILED,"3,870,000","3,920,000",CAPTCHA FAILED,"4,060,000","4,040,000","3,990,000","3,820,000","37,80,000","37,40,000","37,70,000","37,10,000","37,30,000","36,90,000","36,50,000","36,30,000","35,90,000 ","35,40,000","34,70,000","34,50,000","34,50,000",,,,,"40,30,000"
,25,,site:https://www.myntra.com/ inurl:/buy inurl:--,"2,65,00,000 ","2,67,00,000 ","2,63,00,000 ","2,62,00,000 ","2,63,00,000 ","2,62,00,000 ","2,60,00,000 ",,"2,58,00,000","2,58,00,000","2,51,00,000","2,50,00,000","2,42,00,000","50,10,000","54,90,000","50,10,000","47,30,000","43,60,000","43,30,000","46,60,000","48,00,000","49,10,000","51,00,000","51,40,000","52,00,000","52,50,000","53,00,000","51,90,000","51,90,000","52,30,000","53,00,000","54,20,000","57,30,000","57,30,000","57,20,000","58,10,000","57,90,000","57,00,000","58,20,000","58,20,000","58,10,000","58,40,000","59,00,000","59,90,000","55,80,000","56,70,000","58,40,000","58,40,000","58,30,000","59,20,000","58,80,000","58,60,000","58,50,000","59,20,000","59,80,000","58,90,000","57,70,000","58,50,000","60,40,000","59,80,000","57,60,000","57,60,000","60,60,000","62,00,000","64,10,000","6,580,000","6,770,000","6,740,000","6,680,000","6,640,000","6,690,000","6,780,000","6,810,000","7,000,000","7,070,000","7,120,000","6,820,000","67,70,000","67,40,000","67,20,000","66,10,000","66,60,000","67,30,000","67,90,000","67,20,000","65,60,000 ","64,40,000","64,40,000","63,80,000","63,70,000",site:https://www.myntra.com/ inurl:/buy?uq,0,,,"33,90,000"
,26,,site:https://www.myntra.com/ inurl:/buy inurl:---,"2,64,00,000 ","2,67,00,000 ","2,64,00,000 ","2,64,00,000 ","2,61,00,000 ","2,60,00,000 ","2,59,00,000 ",,"2,59,00,000","2,57,00,000","2,49,00,000","2,48,00,000","2,42,00,000","50,00,000","50,10,000","49,80,000","48,30,000","44,60,000","43,70,000","46,60,000","48,80,000","49,50,000","51,20,000","51,50,000","52,00,000","52,70,000","51,90,000","51,50,000","51,40,000","53,00,000","53,20,000","54,70,000","56,70,000","56,70,000","56,80,000","59,00,000","58,70,000","56,60,000","57,90,000","57,90,000","57,50,000","57,90,000","59,60,000","59,10,000",,"57,10,000","58,20,000","58,20,000","58,60,000","58,70,000","59,20,000","58,30,000","58,80,000","59,80,000","59,70,000","59,30,000","57,80,000","59,30,000","59,20,000","58,10,000","57,10,000","57,00,000","61,40,000","62,50,000","63,80,000","6,580,000","6,820,000","6,700,000","6,700,000","6,690,000","6,640,000","6,750,000","6,810,000","6,960,000","7,100,000","7,170,000","6,860,000","68,20,000","67,00,000","67,30,000","66,10,000","66,90,000","67,50,000","67,10,000","67,60,000","66,10,000 ","65,10,000","64,20,000","63,60,000","63,20,000",site:https://www.myntra.com/ inurl:/buy?utm,27,,,"33,70,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:%20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,90,000 "
,,,site:https://www.myntra.com/ inurl:/buy inurl:%27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,80,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,00,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:?p=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,20,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:pdp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,20,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:pdp_image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,60,000"
,,,site:https://www.myntra.com inurl:/buy?src,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,90,000"
,,,site:https://www.myntra.com/ inurl:/buy inurl:sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,10,000"
,,,site:https://www.myntra.com/ inurl:/buy?uq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,60,000"
,,,site:https://www.myntra.com/ inurl:?sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,00,000"
,,,site:https://www.myntra.com/ inurl:/buy?pdp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,30,000"
,,,site:https://www.myntra.com/ inurl:/buy/login?referer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,40,000"
,,,site:https://www.myntra.com/ inurl:/buy?pdp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,40,000"
,,,site:https://www.myntra.com/ inurl:/buy?src,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,10,000"
,,,site:https://www.myntra.com/ inurl:/buy?uq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,90,000"
,,,site:https://www.myntra.com/ inurl:/buy?utm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,50,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,10,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,60,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,50,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,10,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,60,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,80,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,10,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,00,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,90,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,70,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,50,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,50,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,10,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,30,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
